date,open,high,low,close,volume
2013-01-02,140.0,141.74498235454078,138.8789854554751,140.62396781001587,3587200
2013-01-03,140.69665445495812,143.5418651182685,139.21469658097718,142.05990724428756,3164694
2013-01-04,142.11939780351858,145.48785168005574,139.298667703011,142.66712157954817,2201296
2013-01-07,142.82510725268665,143.2153270027191,140.10538547831484,140.4956052283473,2850207
2013-01-08,140.47293318661136,143.43452346599653,139.11133430245977,142.07292458184494,3020453
2013-01-09,141.9432201655681,143.65146887622615,141.17058780956577,142.8788365202238,509001
2013-01-10,142.7382005748516,145.07533951738753,139.6666209284146,142.00375987095055,4673199
2013-01-11,142.11979715394074,146.56142431118278,138.59875061766394,143.04037777490598,4933093
2013-01-14,143.0557488744722,147.75923359659436,139.0071535146047,143.71063823672688,1911952
2013-01-15,143.76038927028756,146.31125084698866,141.71118463666747,144.26204621336856,2125355
2013-01-16,144.14480227788147,145.91827138911646,142.58108837406851,144.3545574853035,4048236
2013-01-17,144.37493998124896,146.16336328784726,143.55989164751958,145.34831495411788,2177472
2013-01-18,145.38015917692547,145.89675890482135,143.5960934278989,144.11269315579477,1962964
2013-01-21,144.20156248415157,145.05518396849445,143.02077401932036,143.87439550366324,4048793
2013-01-22,143.66410667305485,144.1093018026819,142.6421478316516,143.08734296127867,2905612
2013-01-23,142.97756672384966,144.98779930867255,142.15230385113236,144.16253643595525,4377375
2013-01-24,144.41182274215083,145.19961498072132,143.4867537268476,144.2745459654181,3839502
2013-01-25,144.21785309190082,144.23038956531573,143.79970535129385,143.81224182470876,958690
2013-01-28,143.80017224438967,143.94853508437004,142.36356082130436,142.51192366128473,1391429
2013-01-29,142.45514913824726,144.50256375706954,140.06797977068322,142.1153943895055,1078296
2013-01-30,141.90268734314506,142.63900728226622,141.43560585974777,142.17192579886893,1741865
2013-01-31,142.01898859337388,142.62435078433705,141.13966145526044,141.74502364622361,3633491
2013-02-01,141.79756902347563,146.88580017125628,138.91829243559198,144.00652358337263,1364812
2013-02-04,143.9097392092195,146.15847322463307,143.55177241028974,145.8005064257033,3887903
2013-02-05,146.09606373717818,146.91371727678387,140.35806471676594,141.17571825637162,4739257
2013-02-06,140.96421122679152,141.47574331742317,137.54140093984776,138.0529330304794,1021372
2013-02-07,137.78478551016167,137.919204062839,137.67061959181265,137.80503814448997,2394977
2013-02-08,137.7510230623919,138.01647271736903,136.88433321884003,137.14978287381714,1195862
2013-02-11,136.98389331162835,137.5985863268935,136.92841079297034,137.5431038082355,3284674
2013-02-12,137.73300448289442,141.2554686465555,134.4211782442246,137.94364240788568,3113852
2013-02-13,137.8848476139666,141.73179827008084,137.689782045103,141.53673270121723,909739
2013-02-14,141.6098158968641,142.5107604228773,138.80153699281314,139.70248151882635,3315211
